Country Name,Date,Total Population,Mobile subscribers,Health: mortality under-5,Internet users per 100 people,GDP per capita,Mobile subscribers per capita,log(GDP per capita),log(Health: mortality under-5),Region
Brazil,2000,"""174,425,387""","""23,188,171""",36,3,3696,0.13294,8.21501,3.58352,The Americas
Panama,2000,"""2,956,126""","""410,401""",26,7,3931,0.13883,8.27665,3.2581,The Americas
Costa Rica,2000,"""3,919,180""","""211,614""",13,6,4069,0.05399,8.31115,2.56495,The Americas
St. Lucia,2000,"""155,996""","""2,500""",18,5,4622,0.01603,8.43858,2.89037,The Americas
Dominica,2000,"""69,672""","""1,200""",15,9,4718,0.01722,8.45914,2.70805,The Americas
"""Venezuela, RB""",2000,"""24,311,000""","""5,447,172""",25,3,4819,0.22406,8.48032,3.21888,The Americas
Chile,2000,"""15,419,820""","""3,401,525""",11,17,4878,0.22059,8.49249,2.3979,The Americas
Grenada,2000,"""101,522""","""4,300""",15,4,5120,0.04236,8.54091,2.70805,The Americas
Mexico,2000,"""99,959,594""","""14,077,880""",29,5,5817,0.14084,8.66854,3.3673,The Americas
Trinidad and Tobago,2000,"""1,292,058""","""161,860""",32,8,6311,0.12527,8.75005,3.46574,The Americas
Uruguay,2000,"""3,300,847""","""410,787""",17,11,6914,0.12445,8.8413,2.83321,The Americas
Argentina,2000,"""36,930,709""","""6,487,950""",20,7,7696,0.17568,8.94846,2.99573,The Americas
St. Kitts and Nevis,2000,"""44,286""","""1,200""",16,6,8599,0.0271,9.0594,2.77259,The Americas
Barbados,2000,"""267,511""","""28,467""",17,4,9565,0.10641,9.16587,2.83321,The Americas
Antigua and Barbuda,2000,"""77,656""","""22,000""",15,6,10334,0.2833,9.24319,2.70805,The Americas
"""Bahamas, The""",2000,"""297,651""","""31,524""",17,8,21258,0.10591,9.96449,2.83321,The Americas
Canada,2000,"""30,769,700""","""8,727,000""",6,51,23560,0.28362,10.06731,1.79176,The Americas
United States,2000,"""282,162,411""","""109,478,031""",9,43,35082,0.388,10.46544,2.19722,The Americas
"""Congo, Dem. Rep.""",2010,"""65,965,795""","""11,820,348""",170,1,199,0.17919,5.2933,5.1358,Africa
Burundi,2010,"""8,382,849""","""1,150,500""",142,2,242,0.13724,5.48894,4.95583,Africa
Liberia,2010,"""3,994,122""","""1,571,308""",103,7,247,0.39341,5.50939,4.63473,Africa
Sierra Leone,2010,"""5,867,536""","""2,000,000""",174,,325,0.34086,5.78383,5.15906,Africa
Malawi,2010,"""14,900,841""","""3,037,469""",92,2,339,0.20385,5.826,4.52179,Africa
Niger,2010,"""15,511,953""","""3,805,592""",143,1,349,0.24533,5.85507,4.96284,Africa
Ethiopia,2010,"""82,949,541""","""6,854,000""",106,1,358,0.08263,5.88053,4.66344,Africa
